19/6/2021:9:5:16 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:9:6:00 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:9:6:54 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:9:23:09 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:13:14:07 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:13:16:17 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:15:14:51 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:15:14:51 | ::ffff:127.0.0.1 | POST | /product | 200 | {"message":"you are not login!"}
19/6/2021:15:51:35 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:15:51:36 | ::ffff:127.0.0.1 | POST | /product | 200 | {"message":"you are not login!"}
19/6/2021:15:52:18 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:15:52:18 | ::ffff:127.0.0.1 | POST | /product | 200 | {"message":"you are not login!"}
19/6/2021:16:3:18 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlckBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2Njg1Mzk5LCJleHAiOjE2MjY3NzE3OTl9.nxTqLwBkoHYLFXjLwS9E3Od_m0B92KlsaC8AKQ0CZn4"}
19/6/2021:16:3:19 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:16:3:19 | ::ffff:127.0.0.1 | POST | /product | 200 | {"message":"you are not login!"}
19/6/2021:16:3:56 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlckBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2Njg1NDM3LCJleHAiOjE2MjY3NzE4Mzd9.q0niXttA0O6fmtFcqNFX2uDwSmxMJDQtytZkYN0n0nQ"}
19/6/2021:16:3:57 | ::ffff:127.0.0.1 | GET | /product | 200 | []
19/6/2021:16:3:57 | ::ffff:127.0.0.1 | POST | /product | 200 | {"message":"you are not login!"}
19/6/2021:16:5:23 | ::ffff:127.0.0.1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlckBnbWFpbC5jb20iLCJyb2xlcyI6ImFkbWluIiwiaWF0IjoxNjI2Njg1NTI0LCJleHAiOjE2MjY3NzE5MjR9.7CLA39762eg1mT7RrccCLqbzB58neeGM6WQXyyxpiqE"}
19/6/2021:16:5:24 | ::ffff:127.0.0.1 | GET | /product | 200 | []
