6/7/2021:4:43:27 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":200,"description":"OK","isError":false,"message":"","data":[{"id":1,"name":"useredit","email":"emailTest@gmail.com","phone":"08787555432","address":"","password":"$2b$10$g7hR1dJ0wUBhxH6ASzW6rO3hSSGsJEJxLnyEIY7F0f2Lf6IInBQHO","image":"public/images/blank.jpg","roles":"admin","createdAt":"2021-08-04T15:15:48.765Z","updatedAt":"2021-08-04T15:15:49.906Z"}]}
6/7/2021:4:43:48 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":200,"description":"OK","isError":false,"message":"","data":[{"id":1,"name":"useredit","email":"emailTest@gmail.com","phone":"08787555432","address":"","password":"$2b$10$g7hR1dJ0wUBhxH6ASzW6rO3hSSGsJEJxLnyEIY7F0f2Lf6IInBQHO","image":"public/images/blank.jpg","roles":"admin","createdAt":"2021-08-04T15:15:48.765Z","updatedAt":"2021-08-04T15:15:49.906Z"}]}
6/7/2021:4:43:48 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":200,"description":"OK","isError":false,"message":"","data":[{"id":1,"name":"useredit","email":"emailTest@gmail.com","phone":"08787555432","address":"","password":"$2b$10$g7hR1dJ0wUBhxH6ASzW6rO3hSSGsJEJxLnyEIY7F0f2Lf6IInBQHO","image":"public/images/blank.jpg","roles":"admin","createdAt":"2021-08-04T15:15:48.765Z","updatedAt":"2021-08-04T15:15:49.906Z"}]}
6/7/2021:4:43:48 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":200,"description":"OK","isError":false,"message":"","data":[{"id":1,"name":"useredit","email":"emailTest@gmail.com","phone":"08787555432","address":"","password":"$2b$10$g7hR1dJ0wUBhxH6ASzW6rO3hSSGsJEJxLnyEIY7F0f2Lf6IInBQHO","image":"public/images/blank.jpg","roles":"admin","createdAt":"2021-08-04T15:15:48.765Z","updatedAt":"2021-08-04T15:15:49.906Z"}]}
6/7/2021:4:44:24 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":200,"description":"OK","isError":false,"message":"","data":[{"id":1,"name":"useredit","email":"emailTest@gmail.com","phone":"08787555432","address":"","password":"$2b$10$g7hR1dJ0wUBhxH6ASzW6rO3hSSGsJEJxLnyEIY7F0f2Lf6IInBQHO","image":"public/images/blank.jpg","roles":"admin","createdAt":"2021-08-04T15:15:48.765Z","updatedAt":"2021-08-04T15:15:49.906Z"}]}
6/7/2021:4:44:58 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":200,"description":"OK","isError":false,"message":"","data":[{"id":1,"name":"useredit","email":"emailTest@gmail.com","phone":"08787555432","address":"","password":"$2b$10$g7hR1dJ0wUBhxH6ASzW6rO3hSSGsJEJxLnyEIY7F0f2Lf6IInBQHO","image":"public/images/blank.jpg","roles":"admin","createdAt":"2021-08-04T15:15:48.765Z","updatedAt":"2021-08-04T15:15:49.906Z"}]}
6/7/2021:4:49:49 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":401,"description":"Unauthorized","isError":true,"message":"jwt malformed","data":[]}
6/7/2021:4:49:49 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":200,"description":"OK","isError":false,"message":"","data":[{"id":5,"name":"gamis","price":100000,"brand":"zalora","review":20,"star":4,"condition":"New","image":"public/images/product/2021-08-05T09:25:54.690Z-ef0755f4-97be-42d3-a1e9-e3c892b52706 2.png","description":"<p><strong>Baju Koko Untuk Pria&nbsp;</strong></p>\n<ul>\n  <li>Bahan terbuat dari serat pilihan</li>\n  <li>Bahan nyaman dan tidak panas</li>\n  <li>Cocok untuk kemasjid dan acara lainnya</li>\n  <li>Bagus untuk anak muda&nbsp;</li>\n</ul>\n<p><br></p>","createdAt":"2021-08-04T15:51:31.341Z","updatedAt":"2021-08-05T12:07:53.144Z","categories":{"name":"koko","id":3}},{"id":4,"name":"baju koko pria","price":100000,"brand":"Nike","review":20,"star":4,"condition":"New","image":"public/images/product/2021-08-04T15:27:38.586Z-1de17b40-c750-40ed-a618-ca2c5ee79da0 3.png","description":"description","createdAt":"2021-08-04T15:27:38.598Z","updatedAt":"2021-08-04T15:27:38.598Z","categories":{"name":"baju-muslim","id":1}},{"id":3,"name":"baju koko pria","price":100000,"brand":"Nike","review":20,"star":4,"condition":"New","image":"public/images/product/2021-08-04T15:27:28.423Z-4bcf6332-eea3-4278-8c75-9be1f59cbfa3 2.png","description":"description","createdAt":"2021-08-04T15:27:28.452Z","updatedAt":"2021-08-04T15:27:28.452Z","categories":{"name":"baju-muslim","id":1}}]}
6/7/2021:4:50:07 | ::ffff:192.168.43.152 | POST | /login | 200 | {"statusCode":200,"description":"OK","isError":false,"message":"login berhasil!","data":[{"token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoiZ3VzdGlhbmE4ODJAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyODIwMDIwOCwiZXhwIjoxNjI4Mjg2NjA4fQ.zpMroo2SeqSxVNyhxJg8PrQv2y_8Mdwj6OpfePM9CLk","image":"public/images/blank.jpg"}]}
6/7/2021:4:52:12 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":401,"description":"Unauthorized","isError":true,"message":"jwt malformed","data":[]}
6/7/2021:4:52:12 | ::ffff:192.168.43.152 | GET | /profile | 200 | {"statusCode":401,"description":"Unauthorized","isError":true,"message":"jwt malformed","data":[]}
